id,neighborhood,year_built,sale_price,total_living_area,bldg_type,full_baths,bedrooms,lot_area,garage_type,bsmt_area,house_condition,zone,building_coverage
1,CollgCr,2003,208500,1710,1Fam,2,3,8450,Attchd,856,5,RL,0.101301775147929
2,Veenker,1976,181500,1262,1Fam,2,3,9600,Attchd,1262,8,RL,0.13145833333333334
3,CollgCr,2001,223500,1786,1Fam,2,3,11250,Attchd,920,5,RL,0.08177777777777778
4,Crawfor,1915,140000,1717,1Fam,1,3,9550,Detchd,756,5,RL,0.07916230366492147
5,NoRidge,2000,250000,2198,1Fam,2,4,14260,Attchd,1145,5,RL,0.0802945301542777
6,Mitchel,1993,143000,1362,1Fam,1,1,14115,Attchd,796,5,RL,0.05639390719093163
7,Somerst,2004,307000,1694,1Fam,2,3,10084,Attchd,1686,5,RL,0.1671955573185244
8,NWAmes,1973,200000,2090,1Fam,2,3,10382,Attchd,1107,6,RL,0.10662685417068002
9,OldTown,1931,129900,1774,1Fam,2,2,6120,Detchd,952,5,RM,0.15555555555555556
10,BrkSide,1939,118000,1077,2fmCon,1,2,7420,Attchd,991,6,RL,0.1335579514824798
11,Sawyer,1965,129500,1040,1Fam,1,3,11200,Detchd,1040,5,RL,0.09285714285714286
12,NridgHt,2005,345000,2324,1Fam,3,4,11924,BuiltIn,1175,5,RL,0.09854075813485408
13,Sawyer,1962,144000,912,1Fam,1,2,12968,Detchd,912,6,RL,0.0703269586674892
14,CollgCr,2006,279500,1494,1Fam,2,3,10652,Attchd,1494,5,RL,0.14025535110777318
15,NAmes,1960,157000,1253,1Fam,1,2,10920,Attchd,1253,5,RL,0.11474358974358974
16,BrkSide,1929,132000,854,1Fam,1,2,6120,Detchd,832,8,RM,0.13594771241830064
17,NAmes,1970,149000,1004,1Fam,1,2,11241,Attchd,1004,7,RL,0.08931589716217418
19,SawyerW,2004,159000,1114,1Fam,1,3,13695,Detchd,1114,5,RL,0.08134355604235122
20,NAmes,1958,139000,1339,1Fam,1,3,7560,Attchd,1029,6,RL,0.1361111111111111
21,NridgHt,2005,325300,2376,1Fam,3,4,14215,BuiltIn,1158,5,RL,0.08146324305311291
22,IDOTRR,1930,139400,1108,1Fam,1,3,7449,Attchd,637,7,RM,0.08551483420593368
23,CollgCr,2002,230000,1795,1Fam,2,3,9742,Attchd,1777,5,RL,0.18240607678094847
24,MeadowV,1976,129900,1060,TwnhsE,1,3,4224,Attchd,1040,7,RM,0.24621212121212122
25,Sawyer,1968,154000,1060,1Fam,1,3,8246,Attchd,1060,8,RL,0.12854717438758187
26,NridgHt,2007,256300,1600,1Fam,2,3,14230,Attchd,1566,5,RL,0.11004919184820801
27,NAmes,1951,134800,900,1Fam,1,3,7200,Detchd,900,7,RL,0.125
28,NridgHt,2007,306000,1704,1Fam,2,3,11478,Attchd,1704,5,RL,0.14845791949817042
29,NAmes,1957,207500,1600,1Fam,1,2,16321,Attchd,1484,6,RL,0.09092580111512776
30,BrkSide,1927,68500,520,1Fam,1,1,6324,Detchd,520,6,RM,0.08222643896268185
31,IDOTRR,1920,40000,1317,1Fam,1,3,8500,Detchd,649,4,C (all),0.07635294117647058
32,Sawyer,1966,149350,1228,1Fam,1,3,8544,Attchd,1228,6,RL,0.14372659176029962
33,CollgCr,2007,179900,1234,1Fam,2,3,11049,Attchd,1234,5,RL,0.11168431532265363
34,NAmes,1959,165500,1700,1Fam,1,4,10552,Attchd,1398,5,RL,0.13248673237300987
35,NridgHt,2005,277500,1561,TwnhsE,2,2,7313,Attchd,1561,5,RL,0.21345549022289073
36,NridgHt,2004,309000,2452,1Fam,3,4,13418,BuiltIn,1117,5,RL,0.0832463854523774
37,CollgCr,1994,145000,1097,1Fam,1,3,10859,Attchd,1097,5,RL,0.10102219357215213
38,NAmes,1954,153000,1297,1Fam,1,3,8532,Attchd,1297,6,RL,0.15201593999062354
39,NAmes,1953,109000,1057,1Fam,1,3,7922,Detchd,1057,7,RL,0.13342590254986114
41,NAmes,1965,160000,1324,1Fam,2,3,8658,Attchd,1088,5,RL,0.12566412566412566
42,Timber,1959,170000,1328,1Fam,1,2,16905,Attchd,1350,6,RL,0.07985803016858918
43,SawyerW,1983,144000,884,1Fam,1,2,9180,Attchd,840,7,RL,0.0915032679738562
44,CollgCr,1975,130250,938,1Fam,1,3,9200,Detchd,938,6,RL,0.10195652173913043
45,NAmes,1959,141000,1150,1Fam,1,3,7945,Attchd,1150,6,RL,0.144745122718691
46,NridgHt,2005,319900,1752,TwnhsE,2,2,7658,Attchd,1752,5,RL,0.2287803604074171
47,Mitchel,2003,239686,2149,1Fam,1,1,12822,Attchd,1434,5,RL,0.11183902667290595
48,Somerst,2006,249700,1656,1Fam,2,3,11096,Attchd,1656,5,FV,0.14924297043979812
50,Sawyer,1966,127000,955,1Fam,1,3,7742,Attchd,955,7,RL,0.12335313872384397
51,Gilbert,1997,177000,1470,1Fam,2,3,13869,Attchd,794,6,RL,0.057249981974187035
52,BrkSide,1934,114500,1176,1Fam,1,3,6240,Detchd,816,6,RM,0.13076923076923078
53,IDOTRR,1963,110000,816,Duplex,1,2,8472,CarPort,816,5,RM,0.09631728045325778
55,NAmes,1955,130000,1360,1Fam,1,3,7134,Detchd,384,5,RL,0.05382674516400336
56,NAmes,1964,180500,1425,1Fam,2,3,10175,Attchd,1425,5,RL,0.14004914004914004
57,Somerst,1999,172500,1739,Twnhs,2,3,2645,Attchd,970,5,FV,0.3667296786389414
58,CollgCr,2004,196500,1720,1Fam,2,3,11645,Attchd,860,5,RL,0.0738514383855732
59,StoneBr,2006,438780,2945,1Fam,3,3,13682,BuiltIn,1410,5,RL,0.10305510890220727
60,CollgCr,1972,124900,780,1Fam,1,2,7200,Detchd,780,7,RL,0.10833333333333334
61,SawyerW,2004,158000,1158,1Fam,1,3,13072,Detchd,1158,5,RL,0.08858629130966952
62,IDOTRR,1920,101000,1111,1Fam,1,3,7200,Detchd,530,7,RM,0.07361111111111111
